"filename", "language", "JavaScript", "Vue", "SCSS", "XML", "JSON", "CSS", "HTML", "comment", "blank", "total"
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\404.vue", "Vue", 0, 9, 0, 0, 0, 0, 0, 0, 4, 13
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\Empty.vue", "Vue", 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\Home.vue", "Vue", 0, 30, 0, 0, 0, 0, 0, 0, 3, 33
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\Login.vue", "Vue", 0, 188, 0, 0, 0, 0, 0, 6, 13, 207
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\list.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\table.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\course\type.vue", "Vue", 0, 6, 0, 0, 0, 0, 0, 1, 5, 12
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluationSet\template.vue", "Vue", 0, 355, 0, 0, 0, 0, 0, 51, 25, 431
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\evaluation\record.vue", "Vue", 0, 673, 0, 0, 0, 0, 0, 69, 39, 781
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysLog\list.vue", "Vue", 0, 8, 0, 0, 0, 0, 0, 1, 5, 14
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysMenu\list.vue", "Vue", 0, 339, 0, 0, 0, 0, 0, 39, 21, 399
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysRole\assignPerm.vue", "Vue", 0, 85, 0, 0, 0, 0, 0, 19, 11, 115
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysRole\list.vue", "Vue", 0, 281, 0, 0, 0, 0, 0, 38, 20, 339
"d:\VSCode_Files\eva-web-mannger\eva-mannger\src\views\system\sysUser\list.vue", "Vue", 0, 703, 0, 0, 0, 0, 0, 105, 37, 845
"Total", "-", 733, 3797, 72, 1, 23, 454, 211, 899, 559, 6749
